Date,SubDivision,GangId,OrderNumber,OperationNumber,TrackId,MegaWorkBlock,ShadowWorkBlock,SplitWorkBlock,WBMileFrom,WBMileTo,AnchorPattern,SpikePattern,CwrTerritory,DestressingMethod,ClosureType,NumberofInsulatedJoints,NumberofTransitionRails,NumberofCompromiseRails,FastenerTypeTie,PlateChangeOutRequired,RailType,TravelTimeDuringBlocks,ActualStartTime,ActualEndTime,NumberofTampers,ExpectedOutput,ConfidenceLevel,Version,workBlockPlannedMinutes
00:00.0,WESTLOCK,W50P0R08,NULL,310,1,No,No,Yes,82.48000336,83.05000305,Pattern 10,A,No,HEATERS,NULL,0,0,0,NA,Yes,New,0,NULL,NULL,NULL,3032,72,1,480
00:00.0,RAINY,S70P0R01,NULL,310,1,No,No,Yes,84.41999817,84.69999695,Pattern 10,B,No,HEATERS,NULL,0,1,0,NA,No,New,90,NULL,NULL,NULL,1637,72,1,300
00:00.0,FRASER,W50P0W16,NULL,310,1,No,No,Yes,6.900000095,7.019999981,Pattern 10,D,No,PULLERS,NULL,0,0,0,CLIP_RAIL,Yes,New,13.04000092,NULL,NULL,NULL,1240,72,1,60
00:00.0,WAINWRIGHT,W50P0R02,NULL,310,1,Yes,Yes,Yes,231.3600006,231.7899933,Pattern 10,B,No,HEATERS,NULL,0,2,0,NA,Yes,New,0,NULL,NULL,NULL,3069,72,1,600
00:00.0,WAINWRIGHT,W50P0R06,NULL,310,1,Yes,Yes,Yes,147.6399994,148.2799988,Pattern 10,B,No,PULLERS,NULL,0,1,0,NA,Yes,New,20,NULL,NULL,NULL,3295,72,1,600
00:00.0,WAINWRIGHT,W50P0R08,NULL,310,1,Yes,Yes,Yes,155.8999939,157,Pattern 10,B,No,NONE,NULL,0,1,0,NA,Yes,New,50,NULL,NULL,NULL,3624,72,1,300
00:00.0,WAINWRIGHT,W50P0R08,NULL,310,1,Yes,Yes,Yes,155.8999939,157,Pattern 10,B,No,NONE,NULL,0,0,0,NA,Yes,New,50,NULL,NULL,NULL,3908,72,1,300
00:00.0,WAINWRIGHT,W50P0R08,NULL,310,1,Yes,Yes,Yes,155.8999939,157,Pattern 10,B,No,NONE,NULL,0,0,0,NA,Yes,New,50,NULL,NULL,NULL,3908,72,1,300
00:00.0,WAINWRIGHT,W50P0R08,NULL,310,1,Yes,Yes,Yes,155.8999939,157,Pattern 10,B,No,NONE,NULL,0,0,0,NA,Yes,New,50,NULL,NULL,NULL,3908,72,1,300
00:00.0,WAINWRIGHT,W50P0R07,NULL,310,1,Yes,Yes,Yes,153.2599945,155.8300018,Pattern 10,B,No,NONE,NULL,0,1,0,NA,Yes,New,20,NULL,NULL,NULL,2520,72,1,500
